Id	DrawShowRImg
1131004	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5VeraBg_Exclude.png
1141004	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5RosettaBg_Exclude.png
1031005	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5LivBg_Exclude.png
1291003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5TeddyBg_Exclude.png
1391003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5NirvatiaBg_Exclude.png
1061004	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5KamuiBg_Exclude.png
1241003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5HanyingBg_Exclude.png
1211003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5WanshiBg_Exclude.png
1021006	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5LuciaBg_Exclude.png
1051005	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5NanamiBg_Exclude.png
1381003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5VeronicaBg_Exclude.png
1171004	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5LunaBg_Exclude.png
1021007	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5AlphaBg_Exclude.png
1041005	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5Bianca_Exclude.png
1331003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5Lilith_Exclude.png
1521004	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5Qu_Exclude.png
1531005	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5SelenaBg_Exclude.png
1321003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5IshmaelBg_Exclude.png
1401003	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P5HelentineBg_Exclude.png
1071005	Assets/Product/Texture/Image/UiNewDrawMainV4P5/UiNewDrawMainV4P7KareninaBg_Exclude.png
