Id	CharacterId	EquipRecommendId
1	1011002	50010
2	1011002	50020
3	1021001	50110
4	1021001	50120
5	1031001	50210
6	1031001	50220
7	1041002	50310
8	1041002	50320
9	1051001	50410
10	1051001	50420
11	1061002	50510
12	1061002	50520
13	1071002	50610
14	1071002	50620
15	1081002	50710
16	1081002	50720
17	1021002	50810
18	1021002	50820
19	1031002	50910
20	1031002	50920
21	1011003	51010
22	1011003	51020
23	1031003	51110
24	1031003	51120
25	1061003	51210
26	1061003	51220
27	1071003	51310
28	1071003	51320
29	1051003	51410
30	1051003	51420
31	1021003	51510
32	1021003	51520
33	1081003	51610
34	1081003	51620
35	1091002	51710
36	1091002	51720
37	1041003	51810
38	1041003	51820
39	1111002	51910
40	1111002	51920
41	1121002	52010
42	1121002	52020
43	1021004	52110
44	1021004	52120
45	1131002	52210
46	1131002	52220
47	1141003	52310
48	1141003	52320
49	1521003	52410
50	1521003	52420
51	1161002	52510
52	1161002	52520
53	1181003	52610
54	1181003	52620
55	1191003	52710
56	1191003	52720
57	1201003	52810
58	1201003	52820
59	1171003	52910
60	1171003	52920
61	1511003	53010
62	1511003	53020
63	1531003	53110
64	1531003	53120
65	1211002	53210
66	1211002	53220
67	1121003	53310
68	1121003	53320
69	1221002	53410
70	1221002	53420
71	1131003	53510
72	1131003	53520
73	1541003	53610
74	1541003	53620
75	1031004	53721
76	1031004	53720
77	1031004	53710
78	1531004	53810
79	1531004	53820
80	1551003	53910
81	1551003	53920
82	1051004	54010
83	1051004	54020
84	1561003	54110
85	1561003	54120
86	1071004	54210
87	1071004	54220
88	1571003	54310
89	1571003	54320
90	1041004	54521
91	1041004	54420
92	1041004	54511
93	1041004	54410
94	1231002	54510
95	1231002	54520
96	1011004	54610
97	1011004	54620
98	1011004	54621
99	1231002	54512
100	1231002	54522
101	1091003	54710
102	1091003	54720
103	1021005	54821
104	1021005	54820
105	1021005	54810
106	1241002	54910
107	1241002	54920
108	1221003	55010
109	1221003	55030
110	1221003	55020
111	1221003	55040
112	1251002	55110
113	1251002	55120
114	1261003	55210
115	1261003	55230
116	1261003	55220
117	1261003	55240
118	1271003	55310
119	1271003	55320
120	1281002	55410
121	1281002	55420
122	1081004	55510
123	1081004	55520
124	1521004	55610
125	1521004	55620
126	1291002	55710
127	1291002	55720
128	1171004	55810
129	1171004	55820
130	1301002	55910
131	1301002	55920
132	1241003	56010
133	1241003	56020
134	1211003	56110
135	1211003	56120
136	1021006	56210
137	1021006	56220
138	1311002	56310
139	1311002	56320
140	1051005	56410
141	1051005	56420
142	1321003	56510
143	1321003	56520
144	1321003	56530
145	1321003	56540
146	1331003	56610
147	1331003	56620
148	1531005	56710
149	1531005	56720
150	1341002	56810
151	1341002	56820
152	1131004	56910
153	1131004	56920
154	1351003	57010
155	1351003	57020
156	1361003	57110
157	1361003	57120
158	1041005	57210
159	1041005	57220
160	1371002	57310
161	1371002	57320
162	1381003	57410
163	1381003	57420
164	1031005	57510
165	1031005	57520
166	1291003	57610
167	1291003	57620
168	1141004	57710
169	1141004	57720
170	1391003	57810
171	1391003	57820
172	1061004	57910
173	1061004	57920
174	1021007	58010
175	1021007	58020
176	1401003	58110
177	1401003	58120
178	1071005	58210
179	1071005	58220
