Id	TimeId	ImpasseTimeId	StageId	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcLevel[1]	NpcLevel[2]	NpcLevel[3]	NpcLevel[4]	StageBuffId[1]	StageBuffId[2]	StageBuffId[3]	StageBuffId[4]
2001	201	0	30161351	92250	91250	90250		170	205	250		750976	750977	750978
2002	201	0	30161352	92260	91260	90260		220	345	420		750976	750977	750978
2003	201	0	30161353	92330	91330	90330		240	285	345		750976	750977	750978
2004	201	0	30161354	92350	91350	90350		830	1070	1580		750976	750977	750978
2005	201	0	30161355	92360	91360	90360		290	345	415		750976	750977	750978
2006	201	0	30161356	92370	91370	90370		220	345	415		750976	750977	750978
2007	201	0	30161357	92220	91220	90222		160	190	230		750976	750977	750978
2008	201	0	30161358	92390	91390	90390		150	195	235		750976	750977	750978
2009	201	0	30161359	92400	91400	90400		200	240	290		750976	750977	750978
2010	201	0	30161360	92410	91410	90410		144	220	295		750976	750977	750978
2011	201	0	30161361	92440	91440	90440		220	340	405		750976	750977	750978
2012	201	0	30161362	92340	91340	90340		240	275	330		750976	750977	750978
2013	201	0	30161363	92380	91382	90380		250	385	465		750976	750977	750978
2014	201	0	30161364	92420	91420	90420		165	250	305		750976	750977	750978
2015	201	0	30161365	92450	91450	90450		240	280	335		750976	750977	750978
2016	201	0	30161366	92630	91630	90630		395	455	550		750976	750977	750978
2018	201	0	30161367	92680	91680	90680		235	270	600		750976	750977	750978
2019	201	0	30161368	90700	90700	90700		380	485	580		750976	750977	750978
2020	201	0	30161369	92740	91740	90740		430	440	595		750976	750977	750978
2021	201	0	30161370	92780	91780	90780		630	650	880		750976	750977	750978
2022	201	0	30161371	92790	91790	90790		440	455	615		750976	750977	750978
2023	201	0	30161372	92800	91800	90800		385	395	585		750976	750977	750978
2024	201	0	30161373	92870	91870	90870		272	346	415		750976	750977	750978
2025	201	0	30161374	92910	91910	90910		310	394	474		750976	750977	750978
2026	201	0	30161375	92950	91950	90950		220	280	336		750976	750977	750978
2027	201	0	30161376	92980	91980	90980		311	395	475		750976	750977	750978
2028	201	0	30161377	92990	91990	90990		318	404	486		750976	750977	750978
2029	201	0	30161378	93072	93071	93070		288	366	440		750976	750977	750978
2031	201	0	30161380	93142	93141	93140		308	391	470		750976	750977	750978
2032	201	0	30161381	93132	93131	93130		308	391	470		750976	750977	750978
2033	201	0	30161379	93122	93121	93120		308	391	470		750976	750977	750978
3002	201	0	30161301	81300	81310	81310		710	910	1100		750976	750977	750978
3006	201	0	30161310	81200	81200	81200		345	440	525		750976	750977	750978
3007	201	0	30161302	81500	81510	81510		950	1200	1465		750976	750977	750978
3008	201	0	30161307	81700	81700	81700		1805	2295	2765		750976	750977	750978
3009	201	0	30161317	81800	81800	81800		695	880	1065		750976	750977	750978
3010	201	0	30161308	81900	81900	81900		670	855	1030		750976	750977	750978
3013	201	0	30161312	81610	81610	81610		565	720	870		750976	750977	750978
3014	201	0	30161304	83220	83230	83230		420	695	1000		750976	750977	750978
3015	201	0	30161315	83100	83100	83100		480	610	735		750976	750977	750978
3016	201	0	30161318	87360	87360	87360		640	810	980		750976	750977	750978
3018	201	0	30161313	83500	83500	83500		1700	2160	2605		750976	750977	750978
3019	201	0	30161326	83520	83520	83520		360	556	722		750976	750977	750978
3020	201	0	30161311	83610	83610	83610		435	555	670		750976	750977	750978
3021	201	0	30161303	837000	837011	837012		400	520	630		750976	750977	750978
3024	201	0	30161314	83900	83900	83900		385	485	585		750976	750977	750978
3025	201	0	30161316	841000	841000	841000		480	610	735		750976	750977	750978
3030	201	0	30161305	84200	84200	84200		345	700	1000		750976	750977	750978
3031	201	0	30161309	84300	84300	84300		190	245	295		750976	750977	750978
3032	201	0	30161306	84400	84400	84400		230	290	350		750976	750977	750978
3033	201	0	30161319	845000	845000	845000		300	350	400		750976	750977	750978
3034	201	0	30161320	846000	846000	846000		355	451	542		750976	750977	750978
3035	201	0	30161321	85010	85010	85010		350	444	534		750976	750977	750978
3036	201	0	30161323	848100	848100	848100		75	116	151		750976	750977	750978
3038	201	0	30161322	82200	82200	82200		576	732	880		750976	750977	750978
3039	201	0	30161324	85100	85100	85100		446	689	893		750976	750977	750978
3040	201	0	30161325	85300	85300	85300		250	386	500		750976	750977	750978
3041	201	0	30161327	85400	85400	85400		702	1084	1406		750976	750977	750978
3043	201	0	30161328	85480	85480	85480		222	343	445		750976	750977	750978
3044	201	0	30161329	85350	85350	85350		225	347	450		750976	750977	750978
3045	201	0	30161335	81720	81720	81720		104	160	208		750976	750977	750978
3048	32315	32315	30161331	85570	85570	85570	85570	275	412	824	824	750976	750977	750978	751141
3049	201	0	30161332	85620	85620	85620		360	556	722		750976	750977	750978
3050	36301	36301	30161333	82300	82300	82300	82300	295	492	722	722	750976	750977	750978	751141
3051	201	0	30161334	83340	83340	83340		360	556	722		750976	750977	750978
3052	30308	30308	30161337	83130	83130	83130	83130	554	866	1043	1043	750976	750977	750978	751141
3054	201	0	30161336	82350	82350	82350		240	371	482		750976	750977	750978
3056	30307	30307	30161338	85650	85650	85650	85650	143	223	268	268	750976	750977	750978	751141
3057	30306	30306	30161339	85770	85770	85770	85770	180	282	339	339	750976	750977	750978	751141
3058	30305	30305	30161340	85670	85670	85670	85670	240	375	452	452	750976	750977	750978	751141
3059	32316	32316	30161343	85751	85751	85751	85751	244	366	730	730	750976	750977	750978	751141
3060	36302	36302	30161394	87620	87620	87620	87620	140	240	360	360	750976	750977	750978	751141
3062	32314	32314	30161345	87590	87590	87590	87590	135	201	402	402	750976	750977	750978	751141
3064	32313	32313	30161344	87650	87650	87650	87650	240	375	452	452	750976	750977	750978	751141
3065	36303	36303	30161395	87752	87752	87752	87752	163	233	327	327	750976	750977	750978	751141
3066	36304	36304	30161396	87691	87691	87691	87691	130	218	327	327	750976	750977	750978	751141
